,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
544,0.9230434782608696,0.9795238095238096,0.8069852941176471,0.8836463133640553,0.983250325992466,38,7,uniform
572,0.9252657004830918,0.9795238095238096,0.8132352941176471,0.8875872000635626,0.9846276441611128,40,7,uniform
558,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184012,0.9843233845262244,39,7,uniform
516,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9828328745291222,36,7,uniform
488,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9830483917705012,34,7,uniform
530,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9834631266299624,37,7,uniform
542,0.927487922705314,0.9799404761904762,0.8194852941176471,0.8910146194184014,0.9838787670240507,38,6,uniform
502,0.9296618357487922,0.9795238095238096,0.825,0.8946705333968961,0.9829342944074184,35,7,uniform
559,0.9297101449275365,0.9795238095238096,0.8253676470588236,0.8949555061179086,0.985163720660678,39,7,distance
573,0.9297101449275365,0.9795238095238096,0.8253676470588236,0.8949555061179086,0.985163720660678,40,7,distance
514,0.9297101449275365,0.9799404761904762,0.8257352941176471,0.8949555061179086,0.9838742393509128,36,6,uniform
531,0.9297101449275365,0.98,0.8253676470588236,0.8946705333968961,0.985138365691104,37,7,distance
570,0.9297101449275365,0.9870833333333332,0.8194852941176471,0.8940031251655277,0.9844039771080848,40,6,uniform
528,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9835663575775138,37,6,uniform
500,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9839982975949,35,6,uniform
529,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9849264705882352,37,6,distance
545,0.9319323671497586,0.98,0.8316176470588236,0.8986114200964034,0.984522602144306,38,7,distance
460,0.9340579710144928,0.98,0.8371323529411765,0.9017538667302294,0.9838887279049552,32,7,uniform
503,0.9340579710144928,0.98,0.8371323529411765,0.9017538667302294,0.9840879455230368,35,7,distance
456,0.9341062801932368,0.9799404761904762,0.8375,0.901810344827586,0.9863146551724136,32,5,uniform
556,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9836723051289482,39,6,uniform
512,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9847127644161112,36,5,uniform
557,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9853538829324832,39,6,distance
498,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.985644559547957,35,5,uniform
458,0.9341062801932368,0.98,0.8375,0.902038839451242,0.9854806577803534,32,6,uniform
571,0.9341062801932368,0.9803571428571428,0.8375,0.9017920163818384,0.9857740509997104,40,6,distance
517,0.9341062801932368,0.9804166666666668,0.8375,0.9015253721065736,0.9838851057664446,36,7,distance
430,0.9341545893719808,0.9799404761904762,0.8378676470588236,0.9018372265480163,0.985983229498696,30,6,uniform
486,0.9341545893719808,0.9870833333333332,0.8316176470588236,0.9013714312198738,0.9844139379889888,34,6,uniform
484,0.9341545893719808,0.9870833333333332,0.8316176470588236,0.9013714312198738,0.9864912344248044,34,5,uniform
543,0.936280193236715,0.9803571428571428,0.8433823529411765,0.9052194357366772,0.9853538829324832,38,6,distance
554,0.936280193236715,0.9803571428571428,0.8433823529411765,0.905447930360333,0.9848313894523328,39,5,uniform
180,0.936280193236715,0.9803571428571428,0.8433823529411765,0.9063047325310952,0.985278723558389,12,7,uniform
474,0.936280193236715,0.9804166666666668,0.8433823529411765,0.905181286085068,0.9833771008403362,33,7,uniform
475,0.936280193236715,0.9804166666666668,0.8433823529411765,0.905181286085068,0.9842998406259056,33,7,distance
489,0.936280193236715,0.9808333333333332,0.8433823529411765,0.9049344630156644,0.9836695885250653,34,7,distance
472,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.984525318748189,33,6,uniform
501,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.9853593161402492,35,6,distance
473,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.9862032744132136,33,6,distance
487,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.986406114169806,34,6,distance
459,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.987029121993625,32,6,distance
485,0.9363285024154588,0.9804166666666668,0.84375,0.9054662588060808,0.9878585917125472,34,5,distance
540,0.9363285024154588,0.9870833333333332,0.8375,0.9050273451983684,0.9842898797450016,38,5,uniform
236,0.9383574879227052,0.9795238095238096,0.8488970588235294,0.908706728014292,0.98201879889887,16,7,uniform
526,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.9843912996232976,37,5,uniform
527,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.985752318168647,37,5,distance
541,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.985967835410026,38,5,distance
555,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.9859823239640684,39,5,distance
513,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.98640068096204,36,5,distance
569,0.9384541062801932,0.9803571428571428,0.8492647058823529,0.9088753497151718,0.9866252535496958,40,5,distance
68,0.9384541062801932,0.9866071428571428,0.8433823529411765,0.908209398128753,0.9820568313532309,4,7,uniform
446,0.9385024154589372,0.9745833333333334,0.8555147058823529,0.9101265716115547,0.9841024340770792,31,7,uniform
447,0.9385024154589372,0.9745833333333334,0.8555147058823529,0.9101265716115547,0.9859714575485368,31,7,distance
432,0.9385024154589372,0.9799404761904762,0.8496323529411764,0.9091490545050056,0.9846484714575484,30,7,uniform
178,0.9385024154589372,0.9803571428571428,0.8496323529411764,0.9097455927461487,0.9858138945233264,12,6,uniform
457,0.9385024154589372,0.9804166666666668,0.8496323529411764,0.9086859557757778,0.9868317154447986,32,5,distance
320,0.9385024154589372,0.9804166666666668,0.8496323529411764,0.9091221727845754,0.9856690089829035,22,7,uniform
470,0.9385024154589372,0.9804166666666668,0.8496323529411764,0.9091221727845754,0.9867004129237902,33,5,uniform
499,0.9385024154589372,0.9804166666666668,0.8496323529411764,0.9091221727845754,0.9872247174731962,35,5,distance
471,0.9385024154589372,0.9804166666666668,0.8496323529411764,0.9091221727845754,0.9874529121993624,33,5,distance
515,0.9385024154589372,0.9808333333333332,0.8496323529411764,0.9088753497151718,0.9853393943784412,36,6,distance
431,0.9385024154589372,0.9808333333333332,0.8496323529411764,0.9088753497151718,0.9870363662706464,30,6,distance
568,0.9385024154589372,0.9875,0.8433823529411765,0.9084364361074592,0.9850487177629674,40,5,uniform
444,0.9385507246376812,0.9808333333333332,0.85,0.9088936781609196,0.9856807809330628,31,6,uniform
445,0.9385507246376812,0.9808333333333332,0.85,0.9088936781609196,0.9868262822370326,31,6,distance
40,0.938647342995169,0.9928571428571428,0.8378676470588236,0.9071495926209496,0.9714023109243698,2,7,uniform
194,0.9405314009661836,0.962857142857143,0.8727941176470588,0.9142355382844816,0.9842101926977688,13,7,uniform
195,0.9405314009661836,0.962857142857143,0.8727941176470588,0.9142355382844816,0.9853756157635468,13,7,distance
204,0.9405797101449276,0.9795238095238096,0.8551470588235294,0.9123848889338324,0.9848657997681832,14,5,uniform
208,0.9405797101449276,0.9799404761904762,0.8551470588235294,0.9125742828732262,0.9838860113010724,14,7,uniform
316,0.9405797101449276,0.98,0.8547794117647058,0.9120568970332597,0.9848974934801508,22,5,uniform
264,0.9405797101449276,0.98,0.8551470588235294,0.9123626419927864,0.982598341060562,18,7,uniform
96,0.9406280193236716,0.9742929864253396,0.8610294117647058,0.9121187577063388,0.982374674007534,6,7,uniform
426,0.9406280193236716,0.9799404761904762,0.8551470588235294,0.9123418697542724,0.988304114749348,30,4,uniform
66,0.9406280193236716,0.9866071428571428,0.8492647058823529,0.9118653121072476,0.9805735656331496,4,6,uniform
110,0.9406763285024156,0.9636904761904764,0.8735294117647058,0.9144224884311092,0.9826119240799768,7,7,uniform
111,0.9406763285024156,0.9636904761904764,0.8735294117647058,0.9144224884311092,0.9851456099681252,7,7,distance
124,0.9406763285024156,0.97484243697479,0.8617647058823529,0.913320574058322,0.9825503477252968,8,7,uniform
176,0.9406763285024156,0.9803571428571428,0.8555147058823529,0.912965289715846,0.9854915241958851,12,5,uniform
376,0.9406763285024156,0.9804166666666668,0.8555147058823529,0.91277808676307,0.9855847942625324,26,7,uniform
390,0.9406763285024156,0.9804166666666668,0.8555147058823529,0.91277808676307,0.9860982323964068,27,7,uniform
404,0.9406763285024156,0.9804166666666668,0.8555147058823529,0.91277808676307,0.9863037887568818,28,7,uniform
391,0.9406763285024156,0.9804166666666668,0.8555147058823529,0.91277808676307,0.9872337728194726,27,7,distance
402,0.9406763285024156,0.9804166666666668,0.8555147058823529,0.9127780867630702,0.9869485294117648,28,6,uniform
374,0.9407246376811594,0.9803571428571428,0.8558823529411764,0.9123479792361884,0.98713869168357,26,6,uniform
152,0.9407246376811594,0.9803571428571428,0.8558823529411764,0.9129579583375468,0.984865799768183,10,7,uniform
428,0.9407246376811594,0.9808333333333332,0.8558823529411764,0.9125495921394142,0.9862458345407128,30,5,uniform
442,0.9407246376811594,0.9808333333333332,0.8558823529411764,0.9125495921394142,0.9866324978267168,31,5,uniform
443,0.9407246376811594,0.9808333333333332,0.8558823529411764,0.9125495921394142,0.9872573167197912,31,5,distance
248,0.942705314009662,0.9732738095238096,0.8669117647058823,0.9162106465095896,0.9828301579252392,17,6,uniform
249,0.942705314009662,0.9732738095238096,0.8669117647058823,0.9162106465095896,0.984379527673138,17,6,distance
235,0.9427536231884058,0.9677591036414568,0.8727941176470588,0.9169642690729848,0.9850134019124892,16,6,distance
220,0.9427536231884058,0.9744257703081234,0.8669117647058823,0.916547602406318,0.9840127861489424,15,6,uniform
206,0.9427536231884058,0.9744257703081234,0.8669117647058823,0.916547602406318,0.9846403216459,14,6,uniform
221,0.9427536231884058,0.9744257703081234,0.8669117647058823,0.916547602406318,0.9847344972471748,15,6,distance
262,0.9427536231884058,0.9804166666666668,0.8610294117647058,0.9157717329018776,0.9842772022602144,18,6,uniform
344,0.9428019323671496,0.98,0.8610294117647058,0.915997783732767,0.9862757171834252,24,5,uniform
292,0.9428019323671496,0.9804166666666668,0.8610294117647058,0.9157509606633634,0.9850423790205738,20,7,uniform
234,0.9428019323671496,0.9870833333333332,0.8551470588235294,0.9151265716115548,0.98357541292379,16,6,uniform
122,0.9428502415458936,0.97484243697479,0.8676470588235293,0.9165402710280188,0.9826436177919442,8,6,uniform
334,0.9428502415458936,0.9753186274509804,0.8672794117647058,0.9169408002355558,0.985668103448276,23,7,uniform
348,0.9428502415458936,0.9804166666666668,0.8613970588235293,0.9162055061179089,0.9863870979426252,24,7,uniform
403,0.9428502415458936,0.9804166666666668,0.8613970588235293,0.9162055061179089,0.9878748913358446,28,6,distance
461,0.9428502415458936,0.9808333333333332,0.8613970588235293,0.916187177672161,0.9857541292379022,32,7,distance
433,0.9428502415458936,0.9808333333333332,0.8613970588235293,0.916187177672161,0.9864097363083164,30,7,distance
538,0.9428502415458936,0.9875,0.8551470588235294,0.9150835524319952,0.9853747102289192,38,4,uniform
138,0.9428502415458938,0.9577924590888988,0.8852941176470589,0.9180004264657964,0.9838588452622428,9,7,uniform
139,0.9428502415458938,0.9577924590888988,0.8852941176470589,0.9180004264657964,0.9856382208055636,9,7,distance
306,0.9428502415458938,0.9753186274509804,0.8672794117647058,0.916504583226758,0.9858057447116778,21,7,uniform
307,0.9428502415458938,0.9753186274509804,0.8672794117647058,0.916504583226758,0.985828383077369,21,7,distance
318,0.9428502415458938,0.9804166666666668,0.8613970588235293,0.9157692891091112,0.9845823674297304,22,6,uniform
148,0.9428985507246376,0.9741071428571428,0.8676470588235293,0.9165808811136956,0.9852216748768472,10,5,uniform
416,0.9428985507246376,0.9808333333333332,0.8617647058823529,0.9162055061179089,0.9862911112720948,29,6,uniform
417,0.9428985507246376,0.9808333333333332,0.8617647058823529,0.9162055061179089,0.9876648073022312,29,6,distance
250,0.94487922705314,0.9732738095238096,0.8727941176470588,0.9194303434792868,0.982519559547957,17,7,uniform
251,0.94487922705314,0.9732738095238096,0.8727941176470588,0.9194303434792868,0.9839611706751664,17,7,distance
209,0.944975845410628,0.9632738095238096,0.8849264705882354,0.9210903769941592,0.9854697913648218,14,7,distance
192,0.944975845410628,0.9699404761904764,0.8790441176470589,0.9206737103274923,0.98567806432918,13,6,uniform
193,0.944975845410628,0.9699404761904764,0.8790441176470589,0.9206737103274923,0.9864151695160824,13,6,distance
260,0.944975845410628,0.9870833333333332,0.8610294117647058,0.9185539909663936,0.9848196175021732,18,5,uniform
132,0.945024154589372,0.9689600840336136,0.8794117647058822,0.9209609483898727,0.9817190669371196,9,4,uniform
133,0.945024154589372,0.9689600840336136,0.8794117647058822,0.9209609483898727,0.9823529411764704,9,4,distance
205,0.945024154589372,0.9699404761904764,0.8790441176470589,0.920881432712634,0.986090988119386,14,5,distance
146,0.945024154589372,0.9741071428571428,0.8735294117647058,0.9200290727070484,0.9828337800637496,10,4,uniform
94,0.945024154589372,0.9742929864253396,0.8731617647058822,0.9197155583843408,0.9832530425963488,6,6,uniform
335,0.945024154589372,0.9753186274509804,0.8731617647058822,0.9201604972052528,0.98618154158215,23,7,distance
118,0.945024154589372,0.9799404761904762,0.8676470588235293,0.9194608908888664,0.9810734207476092,8,4,uniform
346,0.945024154589372,0.9804166666666668,0.8672794117647058,0.9194252030876056,0.9867302955665024,24,6,uniform
330,0.945024154589372,0.9804166666666668,0.8672794117647058,0.9194252030876056,0.98680817154448,23,5,uniform
290,0.945024154589372,0.9808333333333332,0.8672794117647058,0.9189706576330602,0.984145899739206,20,6,uniform
64,0.945024154589372,0.9866071428571428,0.8613970588235293,0.919025895776452,0.9815116995073888,4,5,uniform
232,0.945024154589372,0.9933333333333334,0.8551470588235294,0.9183841473691304,0.9848458780063748,16,5,uniform
440,0.9450724637681158,0.9804166666666668,0.8672794117647058,0.919217480702464,0.987698312083454,31,4,uniform
414,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9194252030876058,0.9865573384526224,29,5,uniform
415,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9194252030876058,0.986866125760649,29,5,distance
400,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9194252030876058,0.9868724645030426,28,5,uniform
328,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9194252030876058,0.9875570486815416,23,4,uniform
418,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.985260612865836,29,7,uniform
362,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.9856771587945524,25,7,uniform
363,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.9863970588235292,25,7,distance
419,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.9870182555780932,29,7,distance
388,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.9875697261663284,27,6,uniform
389,0.9450724637681158,0.9808333333333332,0.8676470588235293,0.9196329254727476,0.9885087655751956,27,6,distance
454,0.9450724637681158,0.9870833333333332,0.8610294117647058,0.9185500724710958,0.9874855114459576,32,4,uniform
314,0.9450724637681158,0.9870833333333332,0.8613970588235293,0.9190085364209388,0.9871232975949,22,4,uniform
398,0.9450724637681158,0.9870833333333332,0.8613970588235293,0.9190085364209388,0.9892630759200232,28,4,uniform
566,0.9450724637681158,0.9875,0.8610294117647058,0.918303249401692,0.9857007026948712,40,4,uniform
552,0.9450724637681158,0.9875,0.8610294117647058,0.918303249401692,0.98589720370907,39,4,uniform
567,0.9450724637681158,0.9875,0.8610294117647058,0.918303249401692,0.9872482613735148,40,4,distance
553,0.9450724637681158,0.9875,0.8610294117647058,0.918303249401692,0.987463778614894,39,4,distance
536,0.9450724637681158,0.9875,0.8613970588235293,0.9189902079751912,0.9871785352071862,38,3,uniform
550,0.9450724637681158,0.9875,0.8613970588235293,0.9189902079751912,0.9872826716893652,39,3,uniform
564,0.9450724637681158,0.9875,0.8613970588235293,0.9189902079751912,0.9875072442770212,40,3,uniform
562,0.9450724637681158,0.9875,0.8613970588235293,0.9189902079751912,0.9882045059403072,40,2,uniform
12,0.94512077294686,0.941125792422232,0.9102941176470588,0.9230336196062,0.9379056795131844,1,7,uniform
13,0.94512077294686,0.941125792422232,0.9102941176470588,0.9230336196062,0.9379056795131844,1,7,distance
26,0.94512077294686,0.941125792422232,0.9102941176470588,0.9230336196062,0.9379056795131844,1,7,uniform
27,0.94512077294686,0.941125792422232,0.9102941176470588,0.9230336196062,0.9379056795131844,1,7,distance
41,0.94512077294686,0.941125792422232,0.9102941176470588,0.9230336196062,0.9728665604172704,2,7,distance
150,0.94512077294686,0.9803571428571428,0.8676470588235293,0.9196050746620824,0.9844094103158504,10,6,uniform
429,0.94512077294686,0.9808333333333332,0.8676470588235293,0.918988986078808,0.9860402781802377,30,5,distance
38,0.9451690821256038,1.0,0.8496323529411764,0.9175092515011868,0.9669525137641264,2,6,uniform
265,0.9471014492753624,0.9732738095238096,0.8786764705882353,0.9228577628341256,0.9835482468849608,18,7,distance
263,0.9471014492753624,0.9732738095238096,0.8786764705882353,0.9228577628341256,0.9850025354969574,18,6,distance
222,0.9471014492753624,0.9736904761904762,0.8790441176470589,0.9228577628341256,0.9825385757751376,15,7,uniform
223,0.9471014492753624,0.9736904761904762,0.8790441176470589,0.9228577628341256,0.98420204288612,15,7,distance
237,0.9471497584541062,0.9681757703081232,0.8849264705882354,0.9236113853975204,0.9839992031295278,16,7,distance
293,0.9471497584541064,0.9736904761904762,0.8790441176470589,0.9230654852192672,0.9855911330049262,20,7,distance
288,0.9471497584541064,0.9804166666666668,0.8727941176470587,0.9226265716115548,0.9849898580121704,20,5,uniform
246,0.9471497584541064,0.9870833333333332,0.8669117647058823,0.9222099049448882,0.984199326282237,17,5,uniform
247,0.9471497584541064,0.9870833333333332,0.8669117647058823,0.9222099049448882,0.9851148217907852,17,5,distance
108,0.9471980676328504,0.9645676691729322,0.8911764705882353,0.924472702553904,0.9836831715444798,7,6,uniform
109,0.9471980676328504,0.9645676691729322,0.8911764705882353,0.924472702553904,0.9857668067226892,7,6,distance
207,0.9471980676328504,0.9699404761904764,0.8849264705882354,0.9241011296823312,0.9857740509997102,14,6,distance
218,0.9471980676328504,0.9752100840336136,0.8794117647058822,0.9231947187308538,0.984443820631701,15,5,uniform
120,0.9471980676328504,0.9803571428571428,0.8735294117647058,0.9228699817979574,0.9818748188930744,8,5,uniform
331,0.9471980676328504,0.9804166666666668,0.8731617647058822,0.9226449000573028,0.9871214865256448,23,5,distance
304,0.9471980676328504,0.9808333333333332,0.8731617647058822,0.922398076987899,0.983838017965807,21,6,uniform
305,0.9471980676328504,0.9808333333333332,0.8731617647058822,0.922398076987899,0.9847761518400464,21,6,distance
321,0.9471980676328504,0.9808333333333332,0.8731617647058822,0.9228342939966966,0.9864043031005506,22,7,distance
202,0.9471980676328504,0.9866071428571428,0.8672794117647058,0.9222455927461488,0.9858935815705592,14,4,uniform
125,0.9472463768115942,0.9633636788048554,0.8911764705882353,0.924160335182713,0.9849608809040856,8,7,distance
82,0.9472463768115942,0.9681757703081232,0.8856617647058822,0.9242910125927204,0.9804965951898,5,7,uniform
83,0.9472463768115942,0.9681757703081232,0.8856617647058822,0.9242910125927204,0.984058968414952,5,7,distance
136,0.9472463768115942,0.9708176691729322,0.8852941176470589,0.9238409821237964,0.9844528759779774,9,6,uniform
137,0.9472463768115942,0.9708176691729322,0.8852941176470589,0.9238409821237964,0.9856327875977978,9,6,distance
